"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"12/02/2024","40.24","41.4731","40.145","41.24","3.242","3.035","73,638,180"
"11/29/2024","39.065","40.0845","38.925","39.945","2.5546","2.3476","40,865,720"
"11/27/2024","39.645","39.655","38.1661","38.95","-2.4176","-2.6246","78,463,640"
"11/26/2024","39.645","40.125","39.445","39.915","1.552","1.345","69,747,200"
"11/25/2024","40.08","40.435","38.77","39.305","0.4601","0.2531","91,515,720"
"11/22/2024","38.82","39.305","38.44","39.125","0.372","0.1651","79,934,880"
"11/21/2024","39.275","39.44","37.28","38.98","0.9845","0.7775","109,865,540"
"11/20/2024","38.575","38.645","37.055","38.6","-0.1164","-0.3234","101,260,640"
"11/19/2024","37.275","38.775","37.21","38.645","2.0061","1.7991","80,088,280"
"11/18/2024","37.465","38.37","37.155","37.885","2.0197","1.8127","77,965,240"
"11/15/2024","38.635","38.725","36.645","37.135","-7.2321","-7.439","120,601,540"
"11/14/2024","40.795","41.0149","39.81","40.03","-2.1152","-2.3221","77,651,320"
"11/13/2024","40.93","41.5451","40.34","40.895","-0.4382","-0.6451","74,989,080"
"11/12/2024","41.27","41.485","40.325","41.075","-0.5448","-0.7517","68,286,060"
"11/11/2024","41.665","41.7167","40.59","41.3","-0.1813","-0.3882","70,806,080"
"11/08/2024","41.11","41.555","40.955","41.375","0.2423","0.0354","70,059,900"
"11/07/2024","40.08","41.465","40.05","41.275","4.6792","4.4723","99,545,200"
"11/06/2024","38.33","39.6101","38.0971","39.43","8.1163","7.9093","118,794,140"
"11/05/2024","35.475","36.62","35.4575","36.47","3.7996","3.5927","79,352,540"
"11/04/2024","35.32","35.8775","34.755","35.135","-0.9305","-1.1374","82,214,360"
"11/01/2024","35.04","36.18","34.985","35.465","2.131","1.9241","96,678,880"
"10/31/2024","36.655","36.665","34.715","34.725","-7.6094","-7.8163","138,905,120"
"10/30/2024","38.275","38.49","37.47","37.585","-2.2242","-2.4312","80,473,120"
"10/29/2024","37.465","38.7275","37.035","38.44","2.767","2.5601","78,545,160"
"10/28/2024","38.095","38.095","37.33","37.405","0.0937","-0.1133","69,162,280"
"10/25/2024","37.35","38.5","37.195","37.37","1.6871","1.4802","114,826,040"
"10/24/2024","36.71","36.9","36.12","36.75","2.3819","2.175","78,612,740"
"10/23/2024","37.085","37.235","35.14","35.895","-4.6234","-4.8303","118,172,140"
"10/22/2024","36.9025","37.975","36.7275","37.635","0.2931","0.0862","76,307,980"
"10/21/2024","37.03","37.7105","36.59","37.525","0.5493","0.3424","74,995,720"
"10/18/2024","37.23","37.575","37.065","37.32","1.7726","1.5656","64,151,700"
"10/17/2024","37.79","37.8","36.625","36.67","0.3009","0.094","97,697,700"
"10/16/2024","36.62","36.745","35.835","36.56","-0.0547","-0.2616","70,784,200"
"10/15/2024","38.175","38.325","36.07","36.58","-3.9895","-4.1964","106,307,700"
"10/14/2024","37.72","38.41","37.605","38.1","2.5572","2.3503","67,691,260"
"10/11/2024","36.585","37.4","36.45","37.15","0.2564","0.0495","70,735,240"
"10/10/2024","36.66","37.475","36.36","37.055","-0.3496","-0.5565","86,060,600"
"10/09/2024","36.26","37.315","36.03","37.185","2.4098","2.2029","78,696,260"
"10/08/2024","35.33","36.49","35.155","36.31","4.3391","4.1322","77,914,080"
"10/07/2024","35.525","35.79","34.529","34.8","-3.293","-3.5","82,403,440"
"10/04/2024","36","36.08","34.89","35.985","3.5242","3.3172","110,930,020"
"10/03/2024","34.365","35.4042","34.195","34.76","-0.2296","-0.4365","97,749,440"
"10/02/2024","34.505","35.2688","33.935","34.84","0.3745","0.1676","79,119,360"
"10/01/2024","36.14","36.215","33.85","34.71","-4.2351","-4.442","134,760,180"
"09/30/2024","35.73","36.31","35.09","36.245","0.7785","0.5716","86,333,900"
"09/27/2024","36.81","36.83","35.695","35.965","-1.7215","-1.9285","82,930,680"
"09/26/2024","37.46","37.535","35.79","36.595","2.1208","1.9139","107,003,160"
"09/25/2024","35.57","36.245","35.5295","35.835","0.0279","-0.179","64,724,880"
"09/24/2024","35.64","36.045","34.69","35.825","1.4154","1.2085","81,259,520"
"09/23/2024","35.31","35.575","35.02","35.325","0.7415","0.5346","69,837,040"
"09/20/2024","35.075","35.34","34.155","35.065","-0.6376","-0.8445","96,759,560"
"09/19/2024","35.15","35.9","34.7058","35.29","7.5587","7.3517","114,801,340"
"09/18/2024","33.51","34.38","32.695","32.81","-1.3085","-1.5154","166,396,200"
"09/17/2024","33.85","34.13","32.735","33.245","0.0602","-0.1467","103,114,460"
"09/16/2024","33.21","33.355","32.5125","33.225","-1.3363","-1.5432","82,331,080"
"09/13/2024","33.075","33.935","33.025","33.675","1.3087","1.1017","87,966,580"
"09/12/2024","32.315","33.445","31.945","33.24","2.958","2.7511","110,347,040"
"09/11/2024","30.59","32.4749","28.885","32.285","6.3756","6.1687","163,475,180"
"09/10/2024","29.89","30.4575","29.1","30.35","2.6899","2.483","91,582,420"
"09/09/2024","29.285","29.7425","28.6675","29.555","3.72","3.513","110,834,920"
"09/06/2024","30.805","30.985","28.3601","28.495","-8.1103","-8.3172","169,904,600"
"09/05/2024","30.57","31.8597","30.36","31.01","0.3235","0.1166","110,171,520"
"09/04/2024","30.52","31.685","30.325","30.91","-0.85","-1.057","96,798,380"
"09/03/2024","33.63","33.66","30.646","31.175","-9.124","-9.331","147,572,560"
"08/30/2024","34.06","34.435","33.09","34.305","3.4062","3.1993","92,946,780"
"08/29/2024","33.725","34.715","32.895","33.175","-0.5247","-0.7317","120,033,660"
"08/28/2024","34.4","34.56","32.578","33.35","-3.3893","-3.5963","118,625,800"
"08/27/2024","33.865","34.75","33.425","34.52","0.8472","0.6403","71,532,600"
"08/26/2024","35.135","35.335","33.765","34.23","-2.9349","-3.1418","84,981,300"
"08/23/2024","35.1","35.86","34.25","35.265","3.1442","2.9373","128,753,300"
