"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume"
"02/02/2022","369.76","370.1","364.285","368.49","0.8125","0.7395","78,777,140"
"02/01/2022","364.43","366.19","359.14","365.52","0.6803","0.6073","74,433,020"
"01/31/2022","353.2","363.65","351.52","363.05","3.1978","3.1248","94,326,390"
"01/28/2022","343.03","352.02","337.95","351.8","3.1369","3.0638","108,167,900"
"01/27/2022","349.4","351.27","340.05","341.1","-1.0071","-1.0801","95,255,660"
"01/26/2022","352.91","356.88","340.78","344.57","-0.1565","-0.2295","146,559,500"
"01/25/2022","346.67","351.0295","341.68","345.11","-2.3181","-2.3912","124,398,400"
"01/24/2022","345.905","353.98","334.15","353.3","0.4578","0.3847","199,448,100"
"01/21/2022","359.47","362.18","351.4","351.69","-2.7729","-2.8459","143,388,900"
"01/20/2022","369.79","373.87","361.17","361.72","-1.2988","-1.3719","88,610,680"
"01/19/2022","372.15","374.69","366.21","366.48","-1.0984","-1.1714","81,791,480"
"01/18/2022","374.04","376.22","369.7704","370.55","-2.4894","-2.5625","75,812,300"
"01/14/2022","375.07","380.35","374.86","380.01","0.6223","0.5492","80,121,210"
"01/13/2022","388.77","389.47","376.7","377.66","-2.5016","-2.5747","77,993,960"
"01/12/2022","388.46","390.2","385.01","387.35","0.3966","0.3235","54,576,370"
"01/11/2022","379.355","385.9899","377.2182","385.82","1.5022","1.4291","68,295,700"
"01/10/2022","374.82","380.64","369.31","380.11","0.0658","-0.0073","91,770,500"
"01/07/2022","384.03","385.76","378.04","379.86","-1.0833","-1.1563","72,652,300"
"01/06/2022","382.42","387.35","380.13","384.02","-0.0703","-0.1433","70,814,320"
"01/05/2022","394.74","395.89","384.03","384.29","-3.0721","-3.1452","75,739,850"
"01/04/2022","402.24","402.28","393.288","396.47","-1.2971","-1.3701","58,027,210"
"01/03/2022","399.05","401.94","396.88","401.68","0.9627","0.8896","40,575,850"
"12/31/2021","399.66","401.0589","397.34","397.85","-0.6245","-0.6975","34,752,880"
"12/30/2021","401.33","403.5699","399.75","400.35","-0.2988","-0.3719","23,850,070"
"12/29/2021","401.75","403.05","399.11","401.55","-0.0149","-0.088","32,248,480"
"12/28/2021","404.4","404.58","400.71","401.61","-0.4635","-0.5365","33,113,730"
"12/27/2021","398.25","403.48","398.2194","403.48","1.6527","1.5797","32,820,710"
"12/23/2021","394.31","398.425","394.14","396.92","0.7539","0.6808","29,595,540"
"12/22/2021","388.91","394.16","388.23","393.95","1.2179","1.1448","37,042,200"
"12/21/2021","384.05","389.53","380.201","389.21","2.238","2.165","48,899,480"
"12/20/2021","379.565","381.5","377.47","380.69","-1.0964","-1.1694","65,336,830"
"12/17/2021","383.33","389.19","381.77","384.91","-0.4989","-0.572","81,642,850"
"12/16/2021","398.04","398.475","385.21","386.84","-2.5715","-2.6445","82,591,370"
"12/15/2021","387.94","397.4198","383.88","397.05","2.2798","2.2067","73,858,030"
"12/14/2021","387.3","390.09","383.63","388.2","-1.035","-1.1081","75,199,180"
"12/13/2021","398","398.325","391.88","392.26","-1.4447","-1.5178","50,166,410"
"12/10/2021","396.62","398.28","393.36","398.01","1.087","1.014","52,545,770"
"12/09/2021","398.35","400.2","393.5299","393.73","-1.4714","-1.5445","49,973,710"
"12/08/2021","398.17","399.82","396.22","399.61","0.4474","0.3744","39,204,040"
"12/07/2021","393.03","398.46","392.99","397.83","3.0114","2.9383","56,005,260"
"12/06/2021","383.63","387.6","379.3","386.2","0.8013","0.7282","67,588,800"
"12/03/2021","391.31","392.34","378.9","383.13","-1.7389","-1.8119","105,349,100"
"12/02/2021","385.8","391.74","384.34","389.91","0.7207","0.6476","84,416,620"
"12/01/2021","398.28","400.48","386.64","387.12","-1.7013","-1.7744","78,379,250"
"11/30/2021","398.78","401.19","391.75","393.82","-1.4686","-1.5417","81,332,690"
"11/29/2021","395.89","400.73","395.14","399.69","2.1702","2.0972","54,447,110"
"11/26/2021","396.11","397.54","389.77","391.2","-1.8959","-1.9689","51,533,310"
"11/24/2021","394.93","399.05","392.54","398.76","0.322","0.249","46,954,380"
"11/23/2021","398.11","400.23","392.92","397.48","-0.4558","-0.5289","70,098,740"
"11/22/2021","405.57","408.71","399.19","399.3","-1.1609","-1.234","61,715,370"
"11/19/2021","403.43","405.3","402.58","403.99","0.5576","0.4845","45,191,720"
"11/18/2021","399.73","402.27","397.45","401.75","1.0361","0.9631","45,721,520"
"11/17/2021","397.75","399.7196","396.64","397.63","0.0528","-0.0202","28,703,260"
"11/16/2021","393.86","397.93","393.66","397.42","0.7121","0.639","27,872,940"
"11/15/2021","395.91","396.24","392.095","394.61","-0.0228","-0.0959","33,716,860"
"11/12/2021","391.77","395.25","390.13","394.7","1.0523","0.9792","34,730,560"
"11/11/2021","392.57","392.75","390.24","390.59","0.2773","0.2042","32,242,980"
"11/10/2021","392.47","395.36","387.53","389.51","-1.4697","-1.5428","54,937,390"
"11/09/2021","399.16","399.57","393.92","395.32","-0.6883","-0.7614","50,490,720"
